Observation,Q_Values
"[-0.055, -0.16, 0.138, 0.415]","[24.00508741603446, 10.23761806789496]"
"[-0.058, 0.033, 0.146, 0.169]","[23.15466530457597, 24.046254473203213]"
"[-0.058, -0.164, 0.15, 0.504]","[17.96056548004781, 10.956100433528952]"
"[-0.061, -0.361, 0.16, 0.84]","[21.190964298373082, 17.82231587611675]"
"[-0.068, -0.557, 0.176, 1.178]","[20.940283346258322, 24.63875896252194]"
"[-0.079, -0.754, 0.2, 1.52]","[21.047844459658805, 12.646647878340119]"
"[0.013, 0.047, 0.045, -0.046]","[6.53593975593264, 22.042542378186354]"
"[0.014, 0.242, 0.044, -0.324]","[22.107497240483195, 24.310376043709248]"
"[0.019, 0.046, 0.038, -0.018]","[22.067637927664535, 14.385023239469705]"
"[0.019, 0.24, 0.037, -0.298]","[16.988551114595882, 10.988894911639298]"
"[0.024, 0.045, 0.032, 0.006]","[15.895667341429329, 15.579104355906905]"
"[0.025, -0.151, 0.032, 0.309]","[22.651550354485426, 18.550849623979285]"
"[0.022, -0.346, 0.038, 0.611]","[24.631153614611545, 24.126554382139325]"
"[0.015, -0.152, 0.05, 0.331]","[9.640604752697758, 8.022914818534757]"
"[0.012, 0.043, 0.057, 0.054]","[15.332965553691018, 17.86179021850531]"
"[0.013, 0.237, 0.058, -0.22]","[10.848374209842529, 7.895588707106138]"
"[0.018, 0.431, 0.053, -0.494]","[18.83605038264218, 7.389062718539607]"
"[0.026, 0.235, 0.043, -0.185]","[11.665677531350038, 17.705891520608663]"
"[0.031, 0.43, 0.04, -0.464]","[9.297181187233566, 17.191558149980548]"
"[0.04, 0.624, 0.03, -0.744]","[18.2384280387649, 18.046326541727144]"
"[0.052, 0.429, 0.016, -0.442]","[14.421924675541984, 8.99220419360253]"
"[0.061, 0.624, 0.007, -0.729]","[7.975202033967539, 9.678049174437579]"
"[0.073, 0.819, -0.008, -1.02]","[5.461098276943019, 21.25244869010508]"
"[0.09, 1.014, -0.028, -1.315]","[13.31844395161059, 9.427746683215402]"
"[0.11, 1.209, -0.055, -1.616]","[5.616413292623017, 20.671241833674337]"
"[0.134, 1.405, -0.087, -1.926]","[23.929688573421473, 19.496108639726124]"
"[0.162, 1.601, -0.125, -2.244]","[18.920793269888335, 7.561255472313579]"
"[0.194, 1.407, -0.17, -1.992]","[10.130623020650493, 13.047416916408707]"
"[0.013, -0.029, 0.015, 0.01]","[22.01261850267968, 13.880518088857768]"
"[0.012, 0.166, 0.015, -0.278]","[9.293071249560983, 14.29400636253093]"
"[0.015, -0.03, 0.01, 0.02]","[10.328526091584873, 22.809013469732587]"
"[0.015, -0.225, 0.01, 0.315]","[9.018645054418307, 5.112994990410886]"
"[0.01, -0.03, 0.016, 0.026]","[22.211630933565683, 15.461650160315942]"
"[0.01, 0.165, 0.017, -0.262]","[17.138869802462406, 14.36315835964184]"
"[0.013, 0.36, 0.011, -0.549]","[15.561022859595834, 11.476853358769109]"
"[0.02, 0.555, 0.001, -0.838]","[13.320509454845446, 11.741765374321103]"
"[0.031, 0.359, -0.016, -0.545]","[23.360037889290375, 17.171170431781952]"
"[0.038, 0.555, -0.027, -0.843]","[19.913207717408383, 9.554130165791682]"
"[0.05, 0.75, -0.044, -1.144]","[6.068736524626415, 21.44471933965186]"
"[0.065, 0.556, -0.067, -0.866]","[18.708659608745698, 16.11463127254546]"
"[0.076, 0.752, -0.084, -1.179]","[10.56690803178631, 6.246182333804127]"
"[0.091, 0.948, -0.108, -1.496]","[18.23737117372756, 16.929652200386027]"
"[0.11, 1.144, -0.138, -1.821]","[23.27847640045711, 22.142581816199982]"
"[0.133, 1.34, -0.174, -2.153]","[5.996513198513345, 10.730214103590548]"
"[-0.045, -0.02, 0.0, -0.038]","[11.864553399848548, 12.662821097262123]"
"[-0.046, 0.175, -0.0, -0.331]","[13.749327145849112, 9.101420283702026]"
"[-0.042, 0.37, -0.007, -0.624]","[17.240518848051604, 10.616993733443486]"
"[-0.035, 0.175, -0.02, -0.333]","[18.001108268881584, 6.488540687418627]"
"[-0.031, 0.371, -0.026, -0.632]","[6.6825131752368705, 11.800630758985227]"
"[-0.024, 0.566, -0.039, -0.933]","[19.494600845194782, 7.605100868303909]"
"[-0.012, 0.372, -0.058, -0.653]","[22.956359503152456, 24.784219183225645]"
"[-0.005, 0.177, -0.071, -0.379]","[20.672528029490124, 13.745112243835484]"
"[-0.001, 0.373, -0.078, -0.693]","[11.320299545010478, 20.227148309278697]"
"[0.006, 0.179, -0.092, -0.426]","[11.640124891710721, 24.09213117108608]"
"[0.01, -0.014, -0.101, -0.163]","[17.498830285217444, 22.533127520305307]"
"[0.009, 0.182, -0.104, -0.486]","[16.925662758672686, 21.375731967449376]"
"[0.013, 0.378, -0.114, -0.81]","[9.650543728886976, 16.03941628191987]"
"[0.021, 0.185, -0.13, -0.555]","[14.637974570209053, 15.151036503878307]"
"[0.024, 0.382, -0.141, -0.885]","[24.566331426381094, 21.66369992609649]"
"[0.032, 0.578, -0.158, -1.219]","[14.931957309753338, 6.410995478159522]"
"[0.043, 0.775, -0.183, -1.556]","[24.579691469810705, 17.578048772289794]"
"[0.047, -0.0, -0.016, -0.005]","[10.159566580703373, 9.62460017514411]"
"[0.047, -0.195, -0.016, 0.282]","[17.36697544124278, 12.542433321820974]"
"[0.043, 0.0, -0.01, -0.015]","[20.467722552898252, 5.13585905255362]"
"[0.043, -0.195, -0.011, 0.274]","[6.80526078539584, 21.448495652176536]"
"[0.039, -0.389, -0.005, 0.563]","[7.875027752363781, 15.022989036627996]"
"[0.032, -0.585, 0.006, 0.854]","[10.316528983647386, 13.18644623501429]"
"[0.02, -0.39, 0.023, 0.564]","[15.06560729779489, 12.104450555144197]"
"[0.012, -0.585, 0.034, 0.863]","[17.626337293097077, 5.077518082139829]"
"[0.0, -0.781, 0.052, 1.167]","[14.52925576335037, 5.54275332786]"
"[-0.015, -0.586, 0.075, 0.891]","[14.557884082569272, 20.289502968193563]"
"[-0.027, -0.782, 0.093, 1.206]","[16.520372517693048, 19.80169070513518]"
"[-0.043, -0.588, 0.117, 0.944]","[20.571244048799382, 21.02545960371311]"
"[-0.054, -0.395, 0.136, 0.69]","[16.720368945917393, 14.05102504483877]"
"[-0.062, -0.592, 0.15, 1.022]","[6.73661301653307, 23.743249864785945]"
"[-0.074, -0.788, 0.17, 1.358]","[5.825982688070443, 11.677021707155461]"
"[-0.09, -0.596, 0.197, 1.123]","[23.283228496058946, 20.14303967201269]"
"[0.013, 0.046, 0.022, -0.028]","[22.72776704404272, 13.865111839038967]"
"[0.014, 0.241, 0.021, -0.314]","[7.456196163770173, 9.81626977805252]"
"[0.018, 0.436, 0.015, -0.6]","[13.161299426189082, 7.7545573692981495]"
"[0.027, 0.631, 0.003, -0.888]","[18.581273515444924, 24.861980161495076]"
"[0.04, 0.826, -0.015, -1.18]","[14.885189187664077, 23.839676259341868]"
"[0.056, 1.021, -0.039, -1.477]","[8.250961687331312, 11.436935072403964]"
"[0.077, 1.217, -0.068, -1.781]","[11.185733969284538, 6.995495568116279]"
"[0.101, 1.413, -0.104, -2.094]","[12.293166708801657, 20.53651053919019]"
"[0.129, 1.609, -0.146, -2.417]","[15.045549713793985, 22.581785148980167]"
"[0.162, 1.805, -0.194, -2.751]","[8.513136858710135, 20.270429509049816]"
"[0.038, 0.038, 0.044, -0.008]","[21.862703764393785, 8.714968497376814]"
"[0.039, -0.157, 0.044, 0.298]","[11.751210876364837, 8.36668047227885]"
"[0.036, -0.353, 0.05, 0.604]","[21.06191613705861, 15.99184303704196]"
"[0.028, -0.159, 0.062, 0.328]","[16.77873228077675, 16.053458407706835]"
"[0.025, -0.355, 0.069, 0.639]","[21.177763794899466, 9.043858435797125]"
"[0.018, -0.161, 0.082, 0.369]","[22.53583210455338, 6.028425433404438]"
"[0.015, -0.357, 0.089, 0.686]","[7.659566161513844, 23.55665246853001]"
"[0.008, -0.163, 0.103, 0.423]","[20.9063484280856, 7.7225478310760165]"
"[0.005, -0.359, 0.111, 0.746]","[16.28359460356294, 6.864162141721575]"
"[-0.003, -0.166, 0.126, 0.49]","[24.270527485290213, 21.718099560133638]"
"[-0.006, 0.027, 0.136, 0.24]","[6.534175016524863, 5.377056366228388]"
"[-0.005, -0.17, 0.141, 0.572]","[10.85783838865764, 13.668561442316477]"
"[-0.009, 0.023, 0.152, 0.327]","[18.801880395568926, 17.451772807167846]"
"[-0.008, 0.216, 0.159, 0.086]","[5.19507735061762, 14.386819562665034]"
"[-0.004, 0.019, 0.16, 0.424]","[6.846581171241045, 11.60204331973481]"
"[-0.004, -0.178, 0.169, 0.763]","[9.94618590447815, 15.755175025137326]"
"[-0.007, 0.014, 0.184, 0.527]","[14.985388061669056, 15.077622942122094]"
"[-0.007, -0.183, 0.195, 0.872]","[23.928972726221208, 10.348717212462045]"
"[0.037, 0.012, -0.025, 0.019]","[6.757241012708118, 20.828024098496524]"
"[0.037, -0.183, -0.025, 0.303]","[17.0606583371352, 8.979405949906674]"
"[0.034, 0.013, -0.019, 0.003]","[12.438369049830458, 17.694358899769004]"
"[0.034, 0.208, -0.019, -0.296]","[13.622427032850727, 12.918468152008325]"
"[0.038, 0.013, -0.025, -0.009]","[9.297880767377398, 23.48237228625083]"
"[0.038, -0.181, -0.025, 0.276]","[6.272029146097198, 7.429289176557019]"
"[0.035, 0.014, -0.019, -0.025]","[23.235410463909464, 14.608561267337684]"
"[0.035, 0.209, -0.02, -0.323]","[18.864170606672012, 10.521736863204021]"
"[0.039, 0.405, -0.026, -0.622]","[18.4847412124557, 13.019198982244376]"
"[0.047, 0.6, -0.039, -0.923]","[18.882412478217997, 17.332689934172674]"
"[0.059, 0.796, -0.057, -1.227]","[15.964127517979787, 17.67569723045511]"
"[0.075, 0.992, -0.082, -1.537]","[7.918333365107859, 6.012934362929558]"
"[0.095, 0.798, -0.112, -1.271]","[12.807426744761422, 12.11076962132168]"
"[0.111, 0.994, -0.138, -1.597]","[23.371063400938525, 6.289567786428908]"
"[0.131, 1.19, -0.17, -1.929]","[19.967567333297495, 5.444166094512289]"
"[0.155, 1.387, -0.208, -2.269]","[19.798336059957578, 10.824468295612428]"
"[-0.026, -0.022, 0.028, -0.043]","[12.511900398302501, 10.852468435963072]"
"[-0.027, 0.173, 0.028, -0.326]","[17.481472453486326, 12.971630118299846]"
"[-0.023, 0.368, 0.021, -0.61]","[21.27262252580434, 17.767582454793445]"
"[-0.016, 0.563, 0.009, -0.896]","[13.579586299749655, 23.793189662585792]"
"[-0.005, 0.367, -0.009, -0.601]","[12.548648323899394, 9.580476044557411]"
"[0.003, 0.563, -0.021, -0.896]","[19.36465228909695, 12.123764133927303]"
"[0.014, 0.368, -0.039, -0.61]","[14.837855165407912, 10.390531177237394]"
"[0.021, 0.173, -0.051, -0.33]","[5.246313595741421, 19.21006431245403]"
"[0.025, 0.369, -0.058, -0.638]","[21.432698084002734, 17.193247797437014]"
"[0.032, 0.565, -0.071, -0.949]","[10.805011833819382, 15.415533702016456]"
"[0.043, 0.761, -0.09, -1.263]","[17.39531020578331, 8.344734103935092]"
"[0.059, 0.567, -0.115, -0.999]","[9.211717360151678, 17.464083063149786]"
"[0.07, 0.764, -0.135, -1.326]","[22.337736574913954, 20.988736330470665]"
"[0.085, 0.96, -0.161, -1.658]","[16.58772867819794, 21.338183418193488]"
"[0.104, 1.157, -0.195, -1.996]","[16.24555514224394, 21.489333617193573]"
"[-0.023, -0.029, -0.007, -0.044]","[22.116287943394966, 10.163677226258974]"
"[-0.023, -0.224, -0.008, 0.246]","[20.872877168538068, 22.776794127302324]"
"[-0.028, -0.029, -0.003, -0.049]","[9.408808443752106, 23.981526552640183]"
"[-0.028, 0.166, -0.004, -0.342]","[19.46499849873481, 22.62793306170232]"
"[-0.025, 0.361, -0.011, -0.636]","[10.362520861793765, 13.088472860084075]"
"[-0.018, 0.166, -0.024, -0.347]","[10.84119334146349, 13.087527290936452]"
"[-0.015, 0.362, -0.031, -0.647]","[19.281151892864663, 11.74059962238279]"
"[-0.007, 0.167, -0.044, -0.364]","[17.531987128885724, 9.72125014075765]"
"[-0.004, 0.363, -0.051, -0.671]","[9.95988339104014, 7.916587506215098]"
"[0.003, 0.169, -0.064, -0.394]","[23.472951581012126, 11.462341823109735]"
"[0.007, -0.026, -0.072, -0.123]","[9.869835957810446, 17.72107109749693]"
"[0.006, -0.22, -0.075, 0.146]","[6.854730118871874, 11.035938641902494]"
"[0.002, -0.024, -0.072, -0.169]","[19.13155478935805, 14.900884479003889]"
"[0.001, 0.173, -0.075, -0.483]","[23.79978068910793, 17.976794797255053]"
"[0.005, 0.369, -0.085, -0.799]","[21.37988943620317, 12.912509117948442]"
"[0.012, 0.565, -0.101, -1.117]","[11.838675411784989, 16.013411396716638]"
"[0.023, 0.761, -0.123, -1.439]","[21.08442262986391, 13.66619530741027]"
"[0.039, 0.957, -0.152, -1.768]","[16.689325160029533, 13.2628634585192]"
"[0.058, 0.764, -0.187, -1.526]","[7.850047228961287, 19.04808141197932]"
"[-0.044, -0.019, 0.011, 0.025]","[20.44909478948662, 15.020645487078045]"
"[-0.044, 0.176, 0.011, -0.265]","[22.992062938060933, 6.199380478603249]"
"[-0.041, 0.371, 0.006, -0.554]","[9.419612102764873, 10.269133641838305]"
"[-0.033, 0.566, -0.005, -0.844]","[11.59750367706688, 16.702596963354363]"
"[-0.022, 0.371, -0.022, -0.553]","[19.319820077776598, 9.095049080282479]"
"[-0.015, 0.176, -0.033, -0.267]","[23.414997596224374, 22.746722391032087]"
"[-0.011, -0.018, -0.038, 0.015]","[20.33938093749039, 14.966654546156189]"
"[-0.011, 0.177, -0.038, -0.29]","[7.621008856301705, 12.832662179659728]"
"[-0.008, 0.373, -0.044, -0.594]","[19.639820870154175, 12.191055347637414]"
"[-0.0, 0.569, -0.056, -0.9]","[11.598248133440332, 12.212318993938926]"
"[0.011, 0.764, -0.074, -1.21]","[6.472819772958644, 16.943872097777756]"
"[0.026, 0.96, -0.098, -1.525]","[17.31907009725583, 6.019670357942555]"
"[0.045, 1.157, -0.128, -1.846]","[21.2431375157732, 24.00129720942953]"
"[0.069, 0.963, -0.165, -1.596]","[24.20376387133488, 17.999168793162994]"
"[0.088, 1.16, -0.197, -1.935]","[8.342761932728317, 13.366291688229136]"
"[-0.018, -0.038, -0.031, -0.024]","[22.148049280060675, 21.196853476707997]"
"[-0.019, 0.157, -0.032, -0.327]","[24.23909513588628, 12.421497199634162]"
"[-0.016, -0.037, -0.038, -0.044]","[18.81610245522493, 20.18573414542822]"
"[-0.017, 0.158, -0.039, -0.349]","[21.241803474713308, 21.876037718291634]"
"[-0.013, -0.036, -0.046, -0.068]","[23.970917555547118, 7.4185472950944575]"
"[-0.014, 0.159, -0.047, -0.375]","[8.839157013017228, 9.475042916014322]"
"[-0.011, 0.355, -0.055, -0.683]","[17.51189812150252, 24.170335120739963]"
"[-0.004, 0.551, -0.069, -0.992]","[6.981122384699656, 5.547107592838314]"
"[0.007, 0.747, -0.088, -1.305]","[7.471999236882891, 24.965631962035733]"
"[0.022, 0.553, -0.115, -1.042]","[6.118644880363107, 16.89458812089044]"
"[0.033, 0.36, -0.135, -0.787]","[6.56460329511642, 14.473221453428394]"
"[0.04, 0.556, -0.151, -1.119]","[13.99417630966491, 20.695598242437033]"
"[0.051, 0.363, -0.174, -0.877]","[13.369414051927224, 14.346348213353536]"
"[0.059, 0.56, -0.191, -1.219]","[15.953409723437597, 21.66425886101276]"
"[-0.047, 0.035, -0.012, 0.019]","[5.113725629072295, 7.0766875312057635]"
"[-0.046, -0.16, -0.012, 0.308]","[15.262643473015558, 6.754685251182011]"
"[-0.05, 0.035, -0.006, 0.011]","[13.423695081705198, 22.96200686321871]"
"[-0.049, -0.16, -0.005, 0.302]","[13.398595496407012, 10.821546259257174]"
"[-0.052, -0.355, 0.001, 0.593]","[11.33030406127574, 17.18441861136836]"
"[-0.059, -0.55, 0.013, 0.886]","[12.126532488218382, 17.97903093278746]"
"[-0.07, -0.355, 0.03, 0.597]","[7.192843019359643, 10.218858696848553]"
"[-0.077, -0.161, 0.042, 0.314]","[10.29959672922262, 10.447101232938847]"
"[-0.08, -0.356, 0.049, 0.62]","[8.073408814141715, 13.04505072554301]"
"[-0.088, -0.552, 0.061, 0.928]","[11.0202589912298, 8.975576293998769]"
"[-0.099, -0.748, 0.079, 1.239]","[15.771821956320151, 23.38224985902462]"
"[-0.114, -0.944, 0.104, 1.555]","[9.071773527827014, 22.203532925576138]"
"[-0.132, -0.75, 0.135, 1.297]","[13.592545131305966, 11.401302512990071]"
"[-0.147, -0.557, 0.161, 1.05]","[5.282874508830485, 12.692475288410561]"
"[-0.159, -0.754, 0.182, 1.388]","[5.562368563383494, 19.318947742927612]"
"[0.041, -0.014, -0.017, -0.006]","[20.793707723792622, 13.955679973786811]"
"[0.041, 0.182, -0.017, -0.304]","[20.052607192795627, 20.87859598776504]"
"[0.044, 0.377, -0.023, -0.602]","[17.137000681700762, 12.258656867383761]"
"[0.052, 0.182, -0.035, -0.316]","[12.991018868489698, 17.4994130130168]"
"[0.055, 0.378, -0.042, -0.62]","[8.432872503416423, 23.505950276234216]"
"[0.063, 0.574, -0.054, -0.926]","[10.488389412168598, 11.630682746969567]"
"[0.074, 0.769, -0.073, -1.235]","[15.577527459841045, 5.764161476456664]"
"[0.09, 0.965, -0.097, -1.549]","[19.18984524644827, 8.645491753510035]"
"[0.109, 0.772, -0.128, -1.288]","[20.46662389714708, 23.22892283715577]"
"[0.125, 0.578, -0.154, -1.038]","[15.329846923325155, 24.78524181805734]"
"[0.136, 0.775, -0.175, -1.375]","[11.509747123357137, 20.24902868667987]"
"[0.152, 0.972, -0.202, -1.717]","[11.016841684996914, 12.49667092007105]"
"[0.001, -0.002, -0.034, 0.004]","[14.85418357653203, 16.03764122462723]"
"[0.001, -0.196, -0.034, 0.285]","[14.744654084696327, 11.850004113056386]"
"[-0.003, -0.001, -0.028, -0.018]","[23.821518073097167, 13.928083840574159]"
"[-0.003, 0.195, -0.029, -0.32]","[5.850585960550772, 10.842451105091293]"
"[0.001, 0.0, -0.035, -0.036]","[17.594237950741988, 12.321652717286407]"
"[0.001, 0.196, -0.036, -0.34]","[7.7815149348676105, 10.034695042034006]"
"[0.005, 0.391, -0.043, -0.643]","[16.338553615654735, 10.625316371384848]"
"[0.013, 0.197, -0.056, -0.364]","[19.495467004738096, 9.058178664635667]"
"[0.017, 0.393, -0.063, -0.674]","[13.518370439712255, 6.368167051092692]"
"[0.025, 0.199, -0.076, -0.402]","[17.069617635647038, 19.290645267410785]"
"[0.029, 0.005, -0.084, -0.134]","[6.903758742277393, 15.430419389842529]"
"[0.029, -0.189, -0.087, 0.131]","[15.991930274771715, 6.057147165188352]"
"[0.025, -0.383, -0.084, 0.395]","[16.169080720435144, 10.495441448225415]"
"[0.017, -0.187, -0.077, 0.077]","[17.816213193916738, 24.16775593414365]"
"[0.013, 0.009, -0.075, -0.239]","[15.914194277408777, 12.807332020845267]"
"[0.014, 0.205, -0.08, -0.555]","[23.986018944738042, 7.139205307275402]"
"[0.018, 0.012, -0.091, -0.288]","[20.33841835731237, 22.72560043113356]"
"[0.018, 0.208, -0.097, -0.608]","[18.797790407033848, 9.728075725959556]"
"[0.022, 0.014, -0.109, -0.347]","[7.477906383291257, 14.22707957979948]"
"[0.022, -0.179, -0.116, -0.091]","[5.277626274463243, 22.4370927706563]"
"[0.019, 0.017, -0.118, -0.418]","[7.224695604072588, 8.156925447644216]"
"[0.019, 0.214, -0.126, -0.745]","[13.149938427299544, 8.968780591382368]"
"[0.023, 0.021, -0.141, -0.494]","[14.577973636096374, 14.335618989126367]"
"[0.024, -0.172, -0.151, -0.249]","[7.913557853486523, 9.439291309252734]"
"[0.02, -0.365, -0.156, -0.008]","[9.05930657462675, 21.87365837583475]"
"[0.013, -0.557, -0.156, 0.232]","[12.700744030491665, 6.65459252795678]"
"[0.002, -0.36, -0.151, -0.105]","[13.476191114339304, 20.48345649042111]"
"[-0.005, -0.164, -0.153, -0.442]","[23.923797058021485, 18.342957883455895]"
"[-0.009, 0.033, -0.162, -0.778]","[10.796156522633627, 8.382121965559342]"
"[-0.008, 0.23, -0.178, -1.117]","[23.06445776318956, 17.13591950418443]"
"[-0.003, 0.038, -0.2, -0.885]","[14.043473683986814, 24.698425276758467]"
"[0.036, -0.005, -0.004, -0.038]","[7.903076186496019, 16.016331460170967]"
"[0.036, 0.191, -0.005, -0.332]","[20.75228860342228, 19.880843483331063]"
"[0.039, 0.386, -0.011, -0.626]","[19.388054505874685, 10.12400785595781]"
"[0.047, 0.581, -0.024, -0.922]","[8.87595235189507, 9.98390269904194]"
"[0.059, 0.777, -0.042, -1.222]","[5.874239071748333, 22.158811903627406]"
"[0.074, 0.972, -0.067, -1.528]","[14.656533900114209, 14.214102481330102]"
"[0.094, 1.168, -0.097, -1.841]","[19.865259632080637, 21.52471657312004]"
"[0.117, 1.364, -0.134, -2.162]","[6.6565759283269, 22.8556220498549]"
"[0.144, 1.17, -0.177, -1.914]","[22.21056062623162, 6.335828716726098]"
"[0.023, 0.035, -0.042, 0.049]","[8.95537011033037, 6.3855556782077585]"
"[0.023, 0.231, -0.041, -0.257]","[5.34631956914872, 17.135205025850098]"
"[0.028, 0.036, -0.046, 0.023]","[7.4209159721038205, 16.228708150855965]"
"[0.029, -0.158, -0.046, 0.301]","[15.472358485063552, 5.985348844889259]"
"[0.025, -0.352, -0.04, 0.579]","[21.465682203919947, 15.519791443513377]"
"[0.018, -0.157, -0.028, 0.274]","[12.366441712634778, 19.649306161193177]"
"[0.015, -0.352, -0.023, 0.557]","[7.1800360747979735, 12.512781035841545]"
"[0.008, -0.156, -0.012, 0.258]","[9.826540755266716, 23.357156272187517]"
"[0.005, 0.039, -0.006, -0.039]","[13.777109226136751, 16.576519485555405]"
"[0.006, -0.156, -0.007, 0.252]","[8.5930892648365, 11.256679530533935]"
"[0.003, 0.039, -0.002, -0.043]","[5.553217616071324, 7.1469026260534125]"
"[0.004, 0.235, -0.003, -0.336]","[14.240814388337341, 7.74710931442415]"
"[0.008, 0.43, -0.01, -0.63]","[17.597991780327437, 5.41840183291564]"
"[0.017, 0.235, -0.022, -0.34]","[7.2853847719813425, 22.048442332510213]"
"[0.022, 0.04, -0.029, -0.055]","[8.854956312658137, 7.972727177825167]"
"[0.022, 0.235, -0.03, -0.357]","[11.076817932639491, 20.65567811383983]"
"[0.027, 0.431, -0.037, -0.659]","[16.437075037827597, 12.441385216248126]"
"[0.036, 0.627, -0.051, -0.963]","[12.848607942345618, 7.862100054055999]"
"[0.048, 0.432, -0.07, -0.686]","[15.701444297230307, 9.457736927128156]"
"[0.057, 0.238, -0.084, -0.416]","[9.191632372276645, 15.57211759029566]"
"[0.062, 0.044, -0.092, -0.151]","[10.042514725555389, 10.087916821495195]"
"[0.063, 0.241, -0.095, -0.471]","[9.594804428104935, 6.443073322659618]"
"[0.067, 0.437, -0.104, -0.792]","[19.210672692156837, 5.096122720615551]"
"[0.076, 0.633, -0.12, -1.116]","[19.39012606283891, 21.273640844149945]"
"[0.089, 0.83, -0.142, -1.444]","[12.823902004057263, 12.81434712320323]"
"[0.105, 0.637, -0.171, -1.199]","[13.066522052851152, 21.975336631785297]"
"[0.118, 0.444, -0.195, -0.964]","[20.901307066303332, 11.699525200366763]"
"[0.03, 0.049, -0.008, -0.002]","[22.71671095117466, 24.69501648444571]"
"[0.031, 0.244, -0.008, -0.298]","[20.28052509306127, 21.64650594855714]"
"[0.036, 0.439, -0.014, -0.593]","[24.66283216117765, 14.824228356579031]"
"[0.045, 0.635, -0.026, -0.89]","[10.690631149781716, 20.33255241384012]"
"[0.057, 0.44, -0.044, -0.606]","[24.440464160249633, 6.919191749938086]"
"[0.066, 0.636, -0.056, -0.912]","[9.614077410318846, 15.205045667398508]"
"[0.079, 0.831, -0.074, -1.221]","[7.008869408234418, 18.71277312411771]"
"[0.095, 0.637, -0.099, -0.953]","[17.38261252119915, 10.91811099117262]"
"[0.108, 0.444, -0.118, -0.693]","[14.504525830904928, 18.56920207790735]"
"[0.117, 0.64, -0.132, -1.02]","[14.184854047182094, 13.05902571452442]"
"[0.13, 0.837, -0.152, -1.351]","[5.721697119179689, 20.084245799603032]"
"[0.147, 0.644, -0.179, -1.109]","[18.03185846152116, 20.40296835572802]"
"[0.159, 0.452, -0.201, -0.878]","[5.291502802168964, 18.711993998743367]"
"[0.046, -0.039, -0.022, 0.007]","[14.05387156000513, 21.100518806079002]"
"[0.046, 0.156, -0.021, -0.293]","[15.94301981913637, 18.530162877358688]"
"[0.049, 0.352, -0.027, -0.592]","[13.691988404453092, 24.94752886242643]"
"[0.056, 0.547, -0.039, -0.893]","[16.592061620402333, 23.14718826142607]"
"[0.067, 0.743, -0.057, -1.198]","[21.697341886140343, 15.40693199267172]"
"[0.082, 0.939, -0.081, -1.508]","[20.99177671896164, 5.360548463499292]"
"[0.1, 1.135, -0.111, -1.825]","[5.262033534262871, 21.852469512165023]"
"[0.123, 1.331, -0.148, -2.15]","[22.89073192111182, 5.382275960041024]"
"[0.15, 1.527, -0.191, -2.484]","[7.85015204874234, 18.326168231470078]"
"[0.007, 0.028, 0.05, 0.047]","[17.032829906447557, 14.475056968248287]"
"[0.008, -0.168, 0.051, 0.355]","[5.798689263773317, 23.058048326902085]"
"[0.004, 0.026, 0.058, 0.079]","[18.022717381281893, 13.780453194073441]"
"[0.005, -0.17, 0.06, 0.389]","[5.412592308981347, 15.602602960591573]"
"[0.001, 0.025, 0.067, 0.116]","[9.125480866172788, 20.048550834378464]"
"[0.002, 0.219, 0.07, -0.155]","[9.919136899588324, 9.033630256721075]"
"[0.006, 0.413, 0.067, -0.424]","[6.031806349268759, 16.823351011715083]"
"[0.014, 0.607, 0.058, -0.695]","[14.55274776282904, 18.88579089623547]"
"[0.027, 0.411, 0.044, -0.385]","[20.75184250867982, 24.127080378976057]"
"[0.035, 0.215, 0.036, -0.079]","[15.180438044122802, 21.059680340254]"
"[0.039, 0.41, 0.035, -0.36]","[22.510511365673782, 8.376974585275969]"
"[0.047, 0.214, 0.028, -0.056]","[17.358625004807724, 23.176861561266364]"
"[0.052, 0.019, 0.027, 0.245]","[17.75138992959779, 7.497631218516531]"
"[0.052, -0.177, 0.032, 0.546]","[18.8175055886143, 19.39756872959289]"
"[0.048, -0.372, 0.042, 0.849]","[13.436687109200339, 21.121526960682463]"
"[0.041, -0.178, 0.059, 0.569]","[21.63414489798116, 16.004080777049644]"
"[0.037, -0.374, 0.071, 0.88]","[5.983919389579995, 15.328557308007142]"
"[0.03, -0.179, 0.088, 0.611]","[19.991761310913496, 10.714723242045478]"
"[0.026, -0.376, 0.101, 0.93]","[21.706347301929995, 5.1741131094050985]"
"[0.019, -0.182, 0.119, 0.67]","[5.332100944375524, 20.256301122160608]"
"[0.015, 0.011, 0.133, 0.417]","[8.816313203242647, 24.96272603651147]"
"[0.015, 0.204, 0.141, 0.169]","[8.575703294353021, 12.376926495877393]"
"[0.02, 0.007, 0.144, 0.503]","[23.12982278161426, 8.417128533044266]"
"[0.02, 0.2, 0.154, 0.259]","[20.91495843601828, 14.35961181911619]"
"[0.024, 0.003, 0.16, 0.596]","[9.359685472949813, 23.979072039776124]"
"[0.024, 0.196, 0.172, 0.358]","[24.781173376497, 24.62339351306015]"
"[0.028, 0.388, 0.179, 0.124]","[6.5795535087439365, 19.934109204579354]"
"[0.035, 0.191, 0.181, 0.467]","[9.862162660405978, 9.03655235275438]"
"[0.039, 0.383, 0.19, 0.236]","[11.02303536500286, 9.276792455354219]"
"[0.047, 0.186, 0.195, 0.583]","[8.951294423709108, 7.152565049617405]"
